Iteration	Posterior	Likelihood	Prior	birth	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]
3900	-15383.7	-15284.8	-98.9382	0.0375251	0.178378	0.25741	0.0527843	0.0275009	0.471758	0.0121684	0.249814	0.266389	0.140226	0.343571
4000	-15386.4	-15287.5	-98.934	0.0375251	0.192445	0.26354	0.0514835	0.0341846	0.450818	0.00752932	0.251765	0.252368	0.146726	0.349141
4100	-15393.9	-15294.9	-98.9397	0.0375251	0.179394	0.268309	0.0500123	0.0244876	0.468076	0.0097207	0.23965	0.25316	0.151923	0.355267
4200	-15380.6	-15281.7	-98.9355	0.0375251	0.171817	0.28438	0.055433	0.021067	0.460363	0.00693967	0.245378	0.264805	0.147901	0.341916
4300	-15387	-15288.1	-98.9359	0.0375251	0.18355	0.249418	0.0466978	0.0200525	0.492568	0.00771402	0.25175	0.258594	0.14837	0.341285
4400	-15390.9	-15292	-98.9363	0.0375251	0.182669	0.254961	0.052088	0.0239874	0.473272	0.0130233	0.242638	0.25537	0.154584	0.347407
4500	-15384.4	-15285.4	-98.9343	0.0375251	0.189731	0.238409	0.0522592	0.0229449	0.488274	0.00838216	0.255851	0.245218	0.156234	0.342696
4600	-15385.3	-15286.4	-98.9356	0.0375251	0.183483	0.261167	0.0526545	0.0177922	0.471184	0.0137193	0.254051	0.2616	0.151347	0.333002
4700	-15386.3	-15287.3	-98.9316	0.0375251	0.197289	0.256678	0.0444946	0.0200416	0.472349	0.00914717	0.249717	0.25038	0.143674	0.356228
4800	-15388.1	-15289.1	-98.9394	0.0375251	0.179371	0.262665	0.0567366	0.0210667	0.470488	0.00967228	0.237683	0.273354	0.156865	0.332098
4900	-15386.1	-15287.1	-98.935	0.0375251	0.189743	0.276859	0.0514724	0.0285393	0.446598	0.00678785	0.244706	0.25856	0.146351	0.350383
5000	-15390.4	-15291.5	-98.9346	0.0375251	0.164568	0.281675	0.0633314	0.0225161	0.453787	0.0141227	0.250669	0.270362	0.139299	0.33967
5100	-15390.9	-15292	-98.9343	0.0375251	0.183057	0.253742	0.0557197	0.0274045	0.465192	0.0148846	0.241462	0.265272	0.158163	0.335103
5200	-15392.4	-15293.4	-98.938	0.0375251	0.189918	0.273701	0.0461765	0.0252218	0.455541	0.0094417	0.238295	0.258342	0.145867	0.357496
5300	-15384.3	-15285.4	-98.9347	0.0375251	0.187475	0.27744	0.0466689	0.017421	0.457193	0.0138016	0.245096	0.265493	0.139903	0.349508
5400	-15397.1	-15298.2	-98.9372	0.0375251	0.182355	0.281392	0.0561343	0.010899	0.453626	0.0155944	0.237216	0.267402	0.149863	0.345519
5500	-15387	-15288.1	-98.9324	0.0375251	0.190722	0.27835	0.0531631	0.020643	0.449633	0.00748956	0.239421	0.265536	0.145196	0.349847
5600	-15392.4	-15293.5	-98.9359	0.0375251	0.166441	0.270371	0.0567152	0.0292924	0.465909	0.0112715	0.257741	0.261196	0.140218	0.340846
5700	-15389.6	-15290.6	-98.9379	0.0375251	0.179691	0.254268	0.051399	0.0247256	0.476233	0.0136835	0.242867	0.271611	0.145988	0.339534
5800	-15386.2	-15287.3	-98.9352	0.0375251	0.177696	0.273017	0.0569761	0.0229183	0.459952	0.00944114	0.245335	0.2633	0.150795	0.340569
5900	-15386	-15287.1	-98.9365	0.0375251	0.187941	0.265684	0.0540313	0.0249988	0.45768	0.00966534	0.250144	0.263946	0.142292	0.343618
6000	-15391.8	-15292.9	-98.9355	0.0375251	0.179136	0.280687	0.0539442	0.0229268	0.449529	0.0137776	0.239928	0.272008	0.1454	0.342664
6100	-15388.8	-15289.9	-98.9361	0.0375251	0.193271	0.283241	0.0541134	0.01833	0.442931	0.00811394	0.240672	0.266144	0.142607	0.350576
6200	-15386.3	-15287.4	-98.9328	0.0375251	0.189188	0.246891	0.0587318	0.0215993	0.475805	0.00778412	0.242169	0.256559	0.163548	0.337724
6300	-15390.6	-15291.7	-98.9341	0.0375251	0.172595	0.26118	0.0541314	0.0221195	0.485376	0.00459781	0.243154	0.257001	0.155078	0.344767
6400	-15390.5	-15291.6	-98.9299	0.0375251	0.184779	0.294056	0.0537371	0.024755	0.437948	0.00472596	0.231951	0.264205	0.145737	0.358108
6500	-15382.4	-15283.5	-98.9324	0.0375251	0.193838	0.250835	0.0552972	0.0213266	0.466056	0.0126467	0.251304	0.252636	0.150883	0.345177
6600	-15388.7	-15289.7	-98.9344	0.0375251	0.193002	0.266678	0.0569806	0.0215356	0.453952	0.00785178	0.241525	0.261452	0.147854	0.349169
6700	-15383.6	-15284.7	-98.9336	0.0375251	0.190241	0.267249	0.0516814	0.0187167	0.462072	0.0100407	0.258592	0.262091	0.140269	0.339049
6800	-15386	-15287	-98.934	0.0375251	0.180962	0.261835	0.0598393	0.0150158	0.472671	0.00967617	0.243419	0.263433	0.154448	0.338701
6900	-15387.6	-15288.6	-98.9356	0.0375251	0.188639	0.251526	0.0657148	0.0132837	0.467519	0.0133176	0.234868	0.273291	0.15224	0.3396
7000	-15388.4	-15289.4	-98.9337	0.0375251	0.179623	0.244168	0.0584027	0.0220417	0.485679	0.0100851	0.249074	0.259769	0.149463	0.341694
7100	-15384.2	-15285.2	-98.9354	0.0375251	0.175759	0.275029	0.0520571	0.0209351	0.46432	0.0118992	0.245418	0.263181	0.150374	0.341027
7200	-15392.1	-15293.2	-98.9372	0.0375251	0.203686	0.257416	0.0564943	0.024467	0.450692	0.00724485	0.232992	0.255838	0.144283	0.366888
7300	-15384.6	-15285.7	-98.9334	0.0375251	0.18949	0.274298	0.0576659	0.021116	0.450028	0.00740209	0.243135	0.273826	0.145638	0.337401
7400	-15386.5	-15287.6	-98.9362	0.0375251	0.187535	0.271062	0.0558833	0.0223115	0.457827	0.00538026	0.237091	0.259434	0.141884	0.361592
7500	-15383.4	-15284.5	-98.9334	0.0375251	0.175186	0.266575	0.0582896	0.0179322	0.473779	0.0082386	0.247809	0.255834	0.157874	0.338484
7600	-15389.7	-15290.8	-98.9322	0.0375251	0.191295	0.266853	0.0513921	0.0212004	0.453911	0.0153488	0.254099	0.250404	0.145988	0.349509
7700	-15384.3	-15285.3	-98.9353	0.0375251	0.193428	0.236444	0.0495418	0.0224652	0.486703	0.0114172	0.251379	0.25583	0.149186	0.343605
7800	-15388.2	-15289.3	-98.9371	0.0375251	0.17896	0.278946	0.047959	0.0228789	0.462946	0.00830925	0.241488	0.268279	0.143682	0.346551
7900	-15393.5	-15294.6	-98.9398	0.0375251	0.180054	0.276705	0.0515316	0.0195407	0.457488	0.0146804	0.248792	0.264533	0.146135	0.34054
8000	-15392.1	-15293.2	-98.9366	0.0375251	0.179637	0.278218	0.0563259	0.0165711	0.460191	0.00905695	0.255339	0.263435	0.145325	0.335902
8100	-15393.5	-15294.5	-98.9387	0.0375251	0.163154	0.281644	0.0498145	0.0207628	0.471366	0.0132588	0.250963	0.27439	0.147236	0.327411
8200	-15394.8	-15295.9	-98.9354	0.0375251	0.169369	0.232731	0.0544343	0.0266241	0.505018	0.0118235	0.256696	0.261345	0.152624	0.329335
8300	-15388.6	-15289.6	-98.9344	0.0375251	0.173692	0.263351	0.0603236	0.0275962	0.464613	0.0104249	0.255583	0.261315	0.14998	0.333121
8400	-15383.8	-15284.9	-98.9355	0.0375251	0.189331	0.258573	0.0495832	0.0227994	0.472401	0.0073125	0.249874	0.258311	0.149321	0.342494
8500	-15388.1	-15289.2	-98.9323	0.0375251	0.192566	0.279357	0.0545129	0.0193652	0.445056	0.00914277	0.23729	0.255098	0.149784	0.357828
8600	-15387	-15288	-98.9356	0.0375251	0.182428	0.244474	0.0493139	0.0289163	0.48506	0.00980757	0.24212	0.259997	0.156718	0.341165
8700	-15382.8	-15283.9	-98.9347	0.0375251	0.184391	0.26352	0.0488335	0.0156031	0.476263	0.0113895	0.248594	0.258576	0.152916	0.339914
